ID,mjds,num_qpos,hardness,tins,disk_norm,gammas,nthcomp_norms,fit_stats,red_fit_stats,count_rates,bg_ratio,intensities
1130360132_2,58138.2757407,0,0.11109618538939936,1.0,1013.91,4.0,1.83539,142560.8,762.3572192513368,2282.0379008621107,473.8965325453231,1373.3624868541663
1130360134_0,58140.0171875,0,0.1106557955979796,0.916965,2133.2,1.10227,2.64213e-17,22088.54,139.80088607594936,2240.9254991660705,2933.0487713936195,1348.3929879525122
1130360135_1,58141.936956,0,0.11253271880796384,1.0,1598.67,2.32291,4.55943e-17,211171.5,1123.252659574468,2244.2764222939873,4922.089787100337,1347.924464098792
1130360144_4,58197.9012616,0,0.053511318609756116,0.79144,889.719,1.3429,8.84984e-17,37710.69,243.2947741935484,596.871385819486,212.73333379396956,292.15654295403357
1130360145_3,58198.8014699,0,0.05127177030126869,0.921528,483.315,4.0,3.57909e-15,28731.62,200.92041958041958,577.2577705449016,151.0205455508983,279.2911128574567
1130360145_4,58198.9301736,0,0.0544350447072836,0.955275,356.266,1.7411,3.08932e-18,34325.83,233.50904761904764,574.3627415716121,248.56832228393918,279.3520609914846
1130360146_0,58199.0588426,0,0.053783810776803956,0.846341,557.386,1.18267,6.40609e-16,44215.55,283.43301282051283,571.7853463946201,355.08282483337103,277.19241211985684
1130360146_1,58199.1875694,0,0.055009449551793925,0.357097,105409.0,4.0,2.465,1595.17,8.265129533678756,572.4755367443174,133.08203613091143,275.3964121927446
1130360152_1,58210.9939699,0,0.030084374318884163,0.331675,91350.7,4.0,0.511119,1123.41,8.575648854961832,228.67151553831752,420.90451120561613,92.51227135153094
1130360153_0,58211.0583102,0,0.029067256056940133,0.33176,91641.6,4.0,0.499432,1232.36,9.479692307692307,227.8227682266921,501.2306791398439,91.79483814521647
1130360155_0,58213.181713,0,0.025596003731851398,0.317826,98453.3,4.0,0.358033,1050.74,8.082615384615385,175.43048403482788,398.43938941581314,66.33509227075788
1130360155_1,58213.2465972,0,0.02296695609528105,0.319226,96546.8,4.0,0.314195,1002.63,8.21827868852459,173.95688600883136,388.35485609977036,65.22539692195696
1130360156_0,58214.0215046,0,0.024321206020020185,0.311254,104314.0,4.0,0.322243,982.58,7.500610687022901,158.73751348814432,366.87043913163285,58.50755893113706
1130360156_1,58214.2143634,0,0.023548047705994807,0.24982,9898.88,1.68076,0.0360532,214.32,1.11625,156.30109376174497,347.24104967431936,57.075260490303684
1130360156_3,58214.5350579,0,0.02202379454207287,0.306926,107386.0,4.0,0.291326,1618.24,11.898823529411764,147.73309109310972,337.9406297844787,53.08085309140425
1130360156_5,58214.5996065,0,0.02212507623640665,0.306555,108421.0,4.0,0.291246,1561.8,11.483823529411765,146.51869957040722,336.07574716167005,52.86259104277746
1130360157_0,58215.2428472,0,0.02124184245902288,0.303465,109305.0,4.0,0.243502,779.79,6.444545454545454,134.2398958988007,333.475933937288,46.78184775196822
1130360157_2,58215.5650694,0,0.01868884833422012,0.304512,104238.0,4.0,0.206299,1134.3,8.658778625954199,128.9312279488131,233.21858735511267,44.79661799189192
1130360157_3,58215.7538194,0,0.02085841603085485,0.295187,122413.0,4.0,0.271538,288.12,3.166153846153846,126.0396412923714,281.8340072430646,42.998014298276665
1130360157_4,58215.7551852,0,0.01777508595867751,0.299854,112520.0,4.0,0.229631,1637.32,12.039117647058823,126.24831205657905,211.3007173695933,43.37299313724972
1130360158_0,58218.3289931,0,0.04380279869479601,0.270492,149195.0,3.99946,0.257408,250.03,2.4041346153846153,88.14190057621391,58.64896507682097,28.042263845963863
1130360158_1,58218.7151042,0,0.03509446905357826,0.278558,123744.0,3.51316,0.103792,241.45,2.489175257731959,81.51456719022515,106.3653174696562,25.249453851382103
1130360158_2,58218.843831,0,0.011185862060289927,0.276841,134747.0,4.0,0.138702,433.3,3.8345132743362833,80.81517214056932,62.32846614745584,24.11509302706688
1130360160_0,58220.7744097,0,0.016942266616445482,0.264921,135313.0,4.0,0.096681,419.59,3.9960952380952377,58.018234133012065,116.97662099339534,16.40100557689618
1130360160_2,58220.9677083,0,0.03136643119590624,0.252193,180824.0,4.0,0.160746,303.57,2.734864864864865,56.508862823742355,86.54233454132603,15.461435252999863
1130360161_0,58224.6328588,0,0.027338383597097688,0.233688,171116.0,4.0,0.0569671,413.06,2.5655900621118013,28.646604372641026,24.520898086671615,6.444771064879846
1130360161_3,58224.7653009,0,0.014817045219259977,0.223764,233290.0,4.0,0.0666548,276.13,2.301083333333333,27.711903572227165,27.690706889506888,6.144407406291766
1130360179_0,58255.5947222,0,0.12790461505699677,0.280645,96933.5,2.72715,0.180741,180.5,1.4556451612903225,81.89809647501674,97.11248126765798,32.96821512551244
1130360181_0,58259.2336227,0,0.0345127982106792,0.312292,109481.0,4.0,0.868603,2823.54,14.047462686567163,206.32842812755038,43.846035653774855,80.56238292264631
1130360181_5,58259.9426389,0,0.03328193540199242,0.328455,87934.0,4.0,0.531531,990.22,6.557748344370861,211.9084529696284,184.5818735023788,85.6151552619834
1130360182_0,58260.0747338,0,0.025818631033869256,0.32748,90788.6,4.0,0.542632,1696.58,8.440696517412935,215.87065077388442,47.12867705973732,85.38611394192971
1130360182_1,58260.1387963,0,0.03866045245491034,0.313798,112723.0,4.0,0.910294,1177.35,6.196578947368421,217.24434765144161,100.53946315994058,86.71134799578593
1130360182_2,58260.1431246,0,0.025820285870833966,0.331589,84640.0,4.0,0.476888,312.05,2.578925619834711,214.2172444688029,74.22419755343294,85.16435631408724
1130360182_3,58260.1444002,0,0.03296134307145798,0.323984,98283.5,4.0,0.580461,664.75,4.491554054054054,217.1622435236349,108.4584500261456,86.59883280536697
1130360182_4,58260.2655556,0,0.03437327451649807,0.317855,109197.0,4.0,0.700301,2099.75,10.446517412935323,218.62941183213258,75.62350348193011,87.49770509021965
1130360183_1,58261.1104282,0,0.03531662886600141,0.327168,94708.2,4.0,0.579475,1139.65,7.400324675324676,222.39034197253068,249.64353050179093,89.82155139241988
1130360183_2,58261.17375,0,0.035953480078337915,0.322423,102475.0,4.0,0.680381,1299.68,7.384545454545455,224.5164009038987,130.16100770085794,90.33232154011144
1130360183_3,58261.2397338,0,0.04781285550679778,0.309493,124549.0,4.0,1.03109,1149.01,6.348121546961326,226.77699146959557,142.93915056211287,91.82510090219286
1130360183_7,58261.4968287,0,0.040457499003825274,0.318027,110320.0,4.0,0.733579,893.98,4.755212765957447,225.05124697561783,59.77219277574229,90.15340382425507
1130360184_0,58266.1646412,0,0.05440877124383195,0.287899,165296.0,4.0,0.946547,422.9,2.9573426573426573,183.09797809759982,412.97411864033796,71.7404506942996
1130360184_11,58266.3579977,0,0.0643995967289733,0.28158,168961.0,4.0,1.24467,466.87,3.154527027027027,180.77662320521,379.5762111566816,73.6209012440928
1130360184_12,58266.421331,0,0.0616649858838082,0.281791,167126.0,4.0,1.153,633.23,3.933105590062112,175.8410548049997,363.24965224394174,70.33216222875441
1130360184_14,58266.5509606,0,0.06930972154437304,0.282808,161209.0,4.0,1.14367,411.3,2.6707792207792207,177.15360099441853,379.32191270182295,72.4400088485787
1130360184_16,58266.6796991,0,0.08256003056020346,0.262126,242440.0,4.0,1.48288,464.59,2.9781410256410257,174.56674506687233,436.6031921086879,71.03919798189783
1130360184_17,58266.9370718,0,0.07058468891477179,0.267914,213167.0,4.0,1.34425,560.04,3.5445569620253163,170.89404246424797,408.76669248395575,68.83531970541006
