obsid,source,nH,gamma,kT_e,nthcomp_norm,diskbb_Tin,diskbb_norm,red_pgstat
91094-01-02-01,SWIFT_J1753.5-0127,1.63554,2.13030,12.2792,1.15174,1.19824,515.236,3578.258724482868
91094-01-02-02,SWIFT_J1753.5-0127,1.63554,1.89874,10.6366,0.725462,1.26729,486.369,3314.524701105346
91094-01-02-03,SWIFT_J1753.5-0127,1.63554,2.02712,12.4377,0.903434,1.26162,422.357,3668.3563430318836
91110-02-05-00,XTE_J1817-330,1.63554,2.03014,12.3606,0.912937,1.25714,429.918,3644.225907664724
91110-02-07-00,XTE_J1817-330,1.63554,2.23253,1000.00,0.938094,1.36257,313.688,3255.142525243499
91110-02-17-00,XTE_J1817-330,1.63554,2.24135,1000.00,0.936335,1.36871,306.382,3252.1385944597846
91110-02-18-00,XTE_J1817-330,1.63554,2.18123,1000.00,0.915829,1.33430,353.919,3226.677173044482
91110-02-24-00,XTE_J1817-330,1.63554,2.24710,1000.00,0.922330,1.37901,295.758,3248.613151606337
91110-02-25-00,XTE_J1817-330,1.63554,2.23740,1000.00,0.925776,1.36876,307.049,3235.4380238200265
91110-02-29-00,XTE_J1817-330,1.63554,2.18434,1000.00,0.908926,1.33847,348.139,3212.814492371279
91110-02-30-00,XTE_J1817-330,1.63554,2.06698,10.0000,1.06633,1.19320,542.281,3488.791584483892
91110-02-31-00,XTE_J1817-330,1.63554,2.12952,11.9865,1.14502,1.19211,528.779,3490.3796915279418
91404-01-01-00,GRO_J1655-40,1.63554,2.03558,12.3542,0.918255,1.24863,442.286,3578.097042554118
91404-01-01-01,GRO_J1655-40,1.63554,2.13499,12.6931,1.14876,1.19163,526.463,3492.8835048413007
91404-01-01-02,GRO_J1655-40,1.63554,2.15054,13.8976,1.17425,1.18715,529.770,3503.28095918279
91404-01-01-03,GRO_J1655-40,1.63554,2.14647,13.3441,1.16610,1.18761,528.793,3504.367637540453
91404-01-01-04,GRO_J1655-40,1.63554,1.91515,10.6366,0.742267,1.25395,501.763,3253.7147281486577
91404-01-01-05,GRO_J1655-40,1.63554,1.92128,10.6411,0.753179,1.25062,506.090,3247.9103773584907
91423-01-01-00,SWIFT_J1753.5-0127,1.63554,2.13920,13.4476,1.14499,1.19113,520.650,3504.393382352941
91423-01-01-04,SWIFT_J1753.5-0127,1.63554,1.93708,10.7946,0.777745,1.24534,510.384,3244.995311967269
91423-01-02-00,SWIFT_J1753.5-0127,1.63554,1.92529,10.6942,0.758750,1.24894,505.696,3242.636811692726
91423-01-02-05,SWIFT_J1753.5-0127,1.63554,2.27304,1000.00,0.947118,1.37169,291.915,3234.5213486953576
91423-01-02-06,SWIFT_J1753.5-0127,1.63554,2.16396,1000.00,1.06742,1.21760,519.156,3233.738597972973
91423-01-03-00,SWIFT_J1753.5-0127,1.63554,2.08120,12.1419,1.01934,1.21501,483.023,3523.905355338498
91423-01-03-02,SWIFT_J1753.5-0127,1.63554,2.12049,12.9040,1.10229,1.19745,507.007,3499.3779382135663
91423-01-03-03,SWIFT_J1753.5-0127,1.63554,2.10030,12.0012,1.06275,1.20407,497.835,3505.161951791095
91423-01-03-04,SWIFT_J1753.5-0127,1.63554,2.07017,12.0771,0.994036,1.21975,473.863,3528.33534982686
91423-01-03-05,SWIFT_J1753.5-0127,1.63554,1.92820,13.7297,0.589215,1.39664,306.030,3223.959901834366
91423-01-03-06,SWIFT_J1753.5-0127,1.63554,1.90090,10.6367,0.713362,1.25861,485.945,3245.6819972628873
91423-01-03-07,SWIFT_J1753.5-0127,1.63554,2.12956,13.5444,1.11570,1.19300,507.484,3503.806078147612
91423-01-04-00,SWIFT_J1753.5-0127,1.63554,2.12172,12.8229,1.10177,1.19468,505.310,3501.4824586717236
91423-01-04-01,SWIFT_J1753.5-0127,1.63554,2.11867,13.0899,1.09210,1.19699,500.838,3501.1961034156766
91423-01-04-02,SWIFT_J1753.5-0127,1.63554,2.24226,1000.00,0.945002,1.34541,316.063,3213.9457399286916
91423-01-04-03,SWIFT_J1753.5-0127,1.63554,2.12273,13.0423,1.10094,1.19440,503.666,3490.519347852736
