full_ids,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,fit_stat,reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1130360226_7,58321.7578704,10.94,93.9,382.763420904346,0.2,53479.1,1.7783,0.0494546,190.87,1.1161988304093569,0.2,51211.0,1.776,0.049253,0.487299772850589,28.81821083783356,4678,4678,0.4393398482783081,
1130360178_5,58252.5002546,1.386,78.9,577.81301700609,0.200017,7654.16,1.70292,0.00560496,137.55,1.1182926829268294,0.2,7621.6,1.7025,0.0056004,0.4803681634882332,8.426252061196312,1002,1002,0.2335128122464725,
1130360270_0,58391.0726968,1.307,38.5,2116.52016559057,0.2,4847.89,1.65176,0.00526003,225.02,1.119502487562189,0.2,4589.5,1.6492,0.005238,0.5042294102018573,2.888906949554114,6531,6531,1.633603701014818,
2130360201_4,58558.6220486,1.92,79.7,402.69633951009,0.313581,248.644,1.95528,0.0101123,130.76,1.1272413793103448,0.31358,248.71,1.9553,0.010112,0.4682188761596136,8.633077258895817,1001,1001,0.3256542402827743,
2130360201_3,58558.5575,2.363,81.2,278.759864706604,0.2,5818.2,1.70249,0.00997451,124.09,1.128090909090909,0.2,5818.2,1.7025,0.0099745,0.500496406650697,9.150291969624906,786,786,0.3459546195466654,
1130360232_1,58328.5084491,32.11,96.2,112.874344003503,0.2,440683.0,2.20911,0.215322,175.78,1.1340645161290324,0.2,406150.0,2.2021,0.2126,0.3451156414977399,41.54577430205491,3685,3685,0.8051868143646453,
1130360228_2,58324.7163079,32.93,98.0,103.934396802913,0.2,416869.0,2.24785,0.233449,167.86,1.134189189189189,0.2,414590.0,2.2511,0.23438,0.3509671907467566,78.6696310530231,3497,3497,0.4331966507502888,
1130360226_1,58321.2416898,8.627,94.1,401.765071189497,0.200066,34157.4,1.8995,0.0457803,188.36,1.134698795180723,0.20003,34310.0,1.8996,0.045791,0.4923516211281045,29.237649280924945,3837,3837,0.3382136116740569,
1130360223_0,58317.5153356,1.553,83.5,594.760631495592,0.2,11462.2,1.87612,0.00786002,137.37,1.14475,0.2,10374.0,1.8724,0.0078007,0.4453178853866402,10.632402053100844,1105,1105,0.1928792295189505,
1130360269_1,58390.2478472,1.464,77.9,1144.0753859547,0.2,7947.83,1.72102,0.00601599,187.48,1.1501840490797546,0.2,622.33,1.5675,0.004453,0.5455922907644875,8.098365987833754,2028,2028,0.2497209169524705,
