ids,net_count_rates,source_percents,hardness_ratios,mjds,tins,diskbb_norms,gammas,nthcomp_norms,red_pgs
1050360111_5,10490.0,99.9,0.31132780072735483,58015.6608102,0.2,5854310.0,2.59845,133.606,112.74308457711443
1130360174_0,-13.19,-229.5,1.2086550084539542,58244.1979977,0.2,0.10572,3.64758,2.863e-08,36.87293532338308
1130360195_0,-2.983,-106.9,4.6650562674049,58281.5493287,0.2,0.100091,3.64758,1.90262e-08,15.47675
1130360156_4,60.18,99.4,0.020449655939888595,58214.5990856,0.302754,127948.0,4.0,0.27614,2.2054666666666667
1130360202_0,33.09,98.2,0.38332270344942737,58288.9965278,0.2,372347.0,2.10956,0.200148,1.5425136612021857
1130360230_1,31.51,74.4,0.2448526359812938,58326.7659606,0.2,410184.0,2.75019,0.418578,4.727397959183674
1130360166_7,1.3,37.7,0.7180136436023111,58233.9706019,0.231495,16515.2,1.1,0.00102193,0.7495454545454545
1130360109_2,7691.0,100.0,0.274871992865077,58032.3993056,0.2,0.1,2.80089,122.593,222.3244776119403
1050360117_5,9840.0,100.0,0.2770202855898243,58021.7713426,0.265412,0.1,2.82437,137.426,12.138507462686569
1130360163_0,4.628,75.2,0.4064409935779363,58229.3940394,0.20347,202756.0,1.1,0.00238391,1.5140935672514622
1130360210_0,13.76,92.5,0.40312546554243955,58303.2847801,0.2,146189.0,2.03277,0.0765799,1.1771631205673758
2130360205_1,2.929,56.8,1.0865708415170865,58588.7523958,0.2,10140.4,1.1,0.00490985,1.3491542288557214
1130360226_9,11.81,95.9,0.4781052497740035,58321.888206,0.2,47839.9,1.88636,0.0614106,1.3188888888888888
1050360104_4,4790.0,99.5,0.346995856265004,58008.7162731,0.2,15287300.0,2.36604,45.1173,4.827313432835821
1050360105_3,4874.0,99.1,0.34412352805046253,58009.055706,0.2,15805100.0,2.38306,46.7837,4.448059701492537
1050360110_4,7768.0,99.9,0.33699791059651707,58014.6997222,0.2,16756800.0,2.43733,80.6732,21.502935323383085
1130360178_2,0.8116,64.3,0.33399213012264634,58252.3717477,0.270029,688.149,2.33206,0.00664228,1.2243939393939394
1130360206_1,59.2,98.4,0.16575954126659742,58297.6881019,0.2,1201410.0,3.34404,1.14306,1.9646198830409356
1050360105_7,4835.0,99.9,0.3502694882490914,58009.101875,0.2,16664200.0,2.35737,44.8979,1.1466169154228856
