obsid,object,instrument,resp_file,obs_date,obs_time,time_start,source_percent,spectral_file,bg_file,background_count_rate,bg_source_ratio,exposure_time,net_source_count
30191-01-32-00,XTE_J1550-564,PCA,xp30191013200.rsp,20/10/98,22:52:48,151541511.378431,99.21467161997603,xp30191013200_s2.pha,xp30191013200_b2.pha,149.85486472018707,127.33526833316185,880.000000000002,16528247.719046235
30191-01-34-01,XTE_J1550-564,PCA,xp30191013401.rsp,23/10/98,17:40:32,151781979.378431,99.06950372444415,xp30191013401_s2.pha,xp30191013401_b2.pha,155.45019380479505,107.46953279341535,1135.99999999999,18625014.579837754
30191-01-41-00,XTE_J1550-564,PCA,xp30191014100.rsp,09/11/98,14:10:56,153238195.378431,96.02577181118588,xp30191014100_s2.pha,xp30191014100_b2.pha,141.2514323206927,25.162118340728508,4079.99999999932,13348464.15613167
40122-01-01-00,XTE_J1859+226,PCA,xp40122010100.rsp,1999-10-18T07:01:20,07:01:20,182847624.37843,98.91229235603998,xp40122010100_s2.pha,xp40122010100_b2.pha,80.74661050042099,91.93646891726338,6943.99999999886,50427779.53668517
40122-01-01-02,XTE_J1859+226,PCA,xp40122010102.rsp,1999-10-18T03:49:20,03:49:20,182836104.37843,98.90365948963606,xp40122010102_s2.pha,xp40122010102_b2.pha,137.92348121643343,91.21253757813173,2239.99999999975,27562088.402075224
40122-01-01-03,XTE_J1859+226,PCA,xp40122010103.rsp,1999-10-18T02:13:20,02:13:20,182830344.37843,98.8660650193251,xp40122010103_s2.pha,xp40122010103_b2.pha,139.06824534405735,88.18847791474022,2495.99999999969,29917256.659621276
40124-01-04-00,XTE_J1859+226,PCA,xp40124010400.rsp,1999-10-11T18:25:36,18:25:36,182283877.37843,96.6037035244487,xp40124010400_s2.pha,xp40124010400_b2.pha,85.9573561380821,29.443837050111394,1024.0,2415615.667314604
40124-01-05-00,XTE_J1859+226,PCA,xp40124010500.rsp,1999-10-12T19:56:16,19:56:16,182375951.37843,97.48253407310492,xp40124010500_s2.pha,xp40124010500_b2.pha,82.33432785551514,39.72248399935046,911.999999999999,2832540.0929957703
40124-01-06-00,XTE_J1859+226,PCA,xp40124010600.rsp,1999-10-13T02:37:04,02:37:04,182399769.37843,97.52491780377936,xp40124010600_s2.pha,xp40124010600_b2.pha,147.77189614975748,40.40269860641248,1775.99999999985,10078515.112438053
40124-01-07-00,XTE_J1859+226,PCA,xp40124010700.rsp,1999-10-13T15:11:12,15:11:12,182445015.37843,97.5882910600535,xp40124010700_s2.pha,xp40124010700_b2.pha,142.38375340346394,41.464373392511774,816.000000000002,4585173.857222773
40124-01-08-00,XTE_J1859+226,PCA,xp40124010800.rsp,1999-10-14T07:19:28,07:19:28,182503115.37843,97.8910894745197,xp40124010800_s2.pha,xp40124010800_b2.pha,136.35738962696965,47.41784859612526,2831.99999999961,17538743.872576475
40124-01-09-00,XTE_J1859+226,PCA,xp40124010900.rsp,1999-10-14T11:56:32,11:56:32,182519739.37843,97.92860380430565,xp40124010900_s2.pha,xp40124010900_b2.pha,55.87774282665632,48.27661661630079,3199.9999999999,8274665.222954705
40124-01-10-00,XTE_J1859+226,PCA,xp40124011000.rsp,1999-10-14T21:39:12,21:39:12,182554691.37843,98.1479953348325,xp40124011000_s2.pha,xp40124011000_b2.pha,140.619475451764,53.99554433139383,991.999999999998,7253093.48035185
40124-01-11-00,XTE_J1859+226,PCA,xp40124011100.rsp,1999-10-15T21:30:08,21:30:08,182640554.37843,98.1468147718861,xp40124011100_s2.pha,xp40124011100_b2.pha,141.67365056183266,53.96114672345843,1391.99999999994,10247243.278417937
40124-01-13-00,XTE_J1859+226,PCA,xp40124011300.rsp,1999-10-16T23:04:16,23:04:16,182732596.37843,98.87868429490112,xp40124011300_s2.pha,xp40124011300_b2.pha,145.40322897862953,89.18095015103911,1759.99999999986,22310449.316997632
40124-01-14-00,XTE_J1859+226,PCA,xp40124011400.rsp,1999-10-17T10:11:28,10:11:28,182772848.37843,98.7182041318345,xp40124011400_s2.pha,xp40124011400_b2.pha,82.30815063858994,78.0155424772271,3055.99999999972,19120471.291648492
40124-01-15-00,XTE_J1859+226,PCA,xp40124011500.rsp,1999-10-22T05:52:48,05:52:48,183189107.37843,97.98341958006817,xp40124011500_s2.pha,xp40124011500_b2.pha,78.58366398815444,49.58889762669656,688.000000000001,2572920.4391761497
40124-01-16-00,XTE_J1859+226,PCA,xp40124011600.rsp,1999-10-18T11:50:08,11:50:08,182864952.37843,98.49016048572248,xp40124011600_s2.pha,xp40124011600_b2.pha,84.69962979037767,66.23220484983244,2687.9999999998,14623913.395123482
40124-01-17-00,XTE_J1859+226,PCA,xp40124011700.rsp,1999-10-18T21:25:20,21:25:20,182899459.37843,98.29925771145393,xp40124011700_s2.pha,xp40124011700_b2.pha,146.0283274767954,58.79785589707927,1295.99999999996,10749148.287590079
40124-01-18-00,XTE_J1859+226,PCA,xp40124011800.rsp,1999-10-20T00:34:24,00:34:24,182997204.37843,97.93813773041798,xp40124011800_s2.pha,xp40124011800_b2.pha,85.56765010647048,48.49984476425369,2063.99999999995,8212413.370180249
40124-01-19-00,XTE_J1859+226,PCA,xp40124011900.rsp,1999-10-20T05:22:24,05:22:24,183014483.37843,97.89382326710279,xp40124011900_s2.pha,xp40124011900_b2.pha,80.7832747880406,47.479396404898225,3183.99999999969,11697935.053074904
40124-01-20-00,XTE_J1859+226,PCA,xp40124012000.rsp,1999-10-20T21:21:20,21:21:20,183072023.37843,97.97108247455868,xp40124012000_s2.pha,xp40124012000_b2.pha,146.70660509321857,49.28736567458486,1231.99999999997,8546838.46252516
40124-01-21-00,XTE_J1859+226,PCA,xp40124012100.rsp,1999-10-21T12:04:32,12:04:32,183125011.37843,98.01242171862431,xp40124012100_s2.pha,xp40124012100_b2.pha,108.65812971845239,50.312483758267746,2303.99999999979,12094949.669128709
40124-01-23-00,XTE_J1859+226,PCA,xp40124012300.rsp,1999-10-22T19:43:28,19:43:28,183238947.37843,97.94303425490479,xp40124012300_s2.pha,xp40124012300_b2.pha,115.2982584331547,48.61529670022354,816.000000000002,4385724.6211185455
40124-01-23-01,XTE_J1859+226,PCA,xp40124012301.rsp,1999-10-22T21:22:08,21:22:08,183244873.37843,98.16019414521982,xp40124012301_s2.pha,xp40124012301_b2.pha,116.24656606914762,54.353561132648835,1040.0,6329358.5712880865
40124-01-24-00,XTE_J1859+226,PCA,xp40124012400.rsp,1999-10-23T10:18:08,10:18:08,183291433.37843,98.61826318141007,xp40124012400_s2.pha,xp40124012400_b2.pha,83.35536868868263,72.37268244907202,2031.99999999995,11919591.890824601
