full_ids,simpl_tin,simpl_diskbb_norm,simpl_gamma,simpl_FracScat,fit_stat,reduced_fit_stat,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,nthcomp_fit_stat,nthcomp_reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1050360109_10,0.143841,3.65321E+08,2.36551,3.62642E-02,2222.52,11.057313432835821,58013.9882292,6358.0,100.0,864.8063190896061,0.2,20072600.0,2.3204599999999997,56.8406,5493.39,27.330298507462693,,,,,0.35763105819362057,4647.73117062048,6049521,6049521,1.5054092719192786,
1050360109_2,0.129731,8.96501E+08,2.44214,2.92207E-02,252.31,1.255273631840796,58013.34517359999,6914.0,100.0,66.4528110297397,0.2,17327200.0,2.39519,68.0666,622.07,3.0948756218905475,,,,,0.3449564758709573,4678.105104909295,507851,507851,1.6339765728975295,
1050360109_3,0.130906,8.31420E+08,2.43927,2.98823E-02,375.99,1.8705970149253732,58013.3459722,6867.0,100.0,160.639848053455,0.2,17662100.0,2.3921900000000003,67.3008,1249.12,6.214527363184079,,,,,0.34447985815997445,3406.172683488397,1218977,1218977,2.2284509832493624,
1050360109_5,0.134801,6.35152E+08,2.42858,3.31788E-02,465.44,2.3156218905472636,58013.5457755,6773.0,99.9,197.53675302444,0.2,18314500.0,2.38153,65.4413,1416.79,7.048706467661692,,,,,0.3464588167545987,2714.737850311793,1476336,1476336,2.754034694605686,
1050360109_8,0.139300,4.87121E+08,2.39624,3.51426E-02,310.97,1.5471144278606968,58013.7308681,6747.0,100.0,72.445565010421,0.2,19523400.0,2.35059,62.7202,632.43,3.1464179104477608,,,,,0.35308453497737924,8225.294720762246,538582,538582,0.9039436656378698,
1050360110_0,0.142541,3.98084E+08,2.37961,3.64278E-02,2034.18,10.120298507462687,58014.05261569999,6522.0,100.0,861.700923932716,0.2,20025300.0,2.3342099999999997,59.3225,5449.44,27.111641791044768,,,,,0.3555786273270056,4037.821558389776,6184317,6184317,1.7778521109723748,
1050360110_3,0.123533,1.49574E+09,2.47709,2.57292E-02,700.18,3.4834825870646764,58014.6958796,7636.0,99.9,327.25836002267897,0.2,17158000.0,2.42937,78.4809,2779.84,13.830049751243784,,,,,0.3384999001999504,3188.484037900532,2766206,2766206,2.651830434947721,
1050360110_4,0.122481,1.60267E+09,2.48457,2.57620E-02,930.86,4.631144278606965,58014.6997222,7768.0,99.9,533.579791912809,0.2,16756800.0,2.4373299999999998,80.6732,4322.09,21.502935323383088,,,,,0.3369979105965171,2497.097990402983,4591089,4591089,3.4471065515632033,
1050360110_5,0.109231,5.30681E+09,2.53074,1.51745E-02,916.40,4.559203980099502,58014.824375,8244.0,100.0,189.33123305626202,0.2,14762400.0,2.48316,90.6693,2481.87,12.347611940298505,,,,,0.3288957177496613,6550.1042948523045,1732072,1732072,1.396888593727092,
1050360110_6,0.109201,5.24685E+09,2.52653,1.55150E-02,2981.98,14.835721393034826,58014.82666669999,8386.0,100.0,673.0893047330901,0.2,14584800.0,2.4796400000000003,91.9482,8301.23,41.29965174129353,,,,,0.3301605942863663,6930.467687512682,6265500,6265500,1.3433314130499907,
