full_ids,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,fit_stat,reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1130360111_0,58033.9991435,7.411e+03,100.0,1568.22093977407,0.200000,6.56989E+05,2.80593,118.592,63317.21,315.0109950248756,,,,,0.2740726578307026,12979.51127686359,13048712,13048712,0.6411143806859754,
1130360111_2,58034.1930903,7.356e+03,100.0,1512.75690050796,0.200000,3.11951E+05,2.81789,119.271,62550.87,311.19835820895526,,,,,0.2720829526573973,6436.025934059084,12500715,12500715,1.2841489759240754,
1130360111_3,58034.3937731,7.268e+03,100.0,849.138680111617,0.200000,0.100000,2.83666,120.245,36399.37,181.09139303482587,,,,,0.26765770514519105,12939.726533151861,6940105,6940105,0.6316781908738397,
1130360113_0,58036.4984375,6.368e+03,100.0,282.525755949318,0.200000,6.39209E+06,2.77446,97.2741,5801.52,28.863283582089554,,,,,0.2769716098276899,8094.729357854958,2005001,2005001,0.8768147959790333,
1130360113_1,58036.6912616,5.762e+03,100.0,297.586925961077,0.200000,1.11292E+07,2.66929,77.5933,3027.72,15.063283582089552,,,,,0.2927709267596967,8063.170273010148,1902280,1902280,0.7928821275277735,
1130360130_4,58136.4066204,1.226e+03,100.0,416.989439958706,0.468727,5.97668E+04,3.64758,8.03925,12151.39,66.76587912087912,,,,,0.1145913865159329,5892.49658711462,584173,584173,0.23778847031884973,
1130360130_5,58136.4204514,1.228e+03,99.9,194.669356044382,0.461662,6.33936E+04,3.64758,8.57713,5652.64,32.4864367816092,,,,,0.11424336798365127,2697.0217675108493,272967,272967,0.5201027620397553,
1130360130_6,58136.4709838,1.210e+03,100.0,413.016032040119,0.645633,1.24480E+04,3.64758,0.921879,36761.53,205.37167597765364,,,,,0.11321233870763274,6183.807107604392,569201,569201,0.22290152867064486,
1130360130_8,58136.7283565,1.209e+03,100.0,986.399528911337,0.769282,6293.19,3.64758,2.26494E-04,115932.9,606.9785340314136,,,,,0.11268619482220173,6143.778233376625,1359387,1359387,0.22434966197028441,
1130360130_9,58136.8571181,1.212e+03,100.0,991.361304105259,0.468689,6.03547E+04,3.64758,7.80675,28488.04,149.15204188481675,,,,,0.11291714820534371,5528.272665646133,1369552,1369552,0.24993994743415937,
1130360131_0,58137.1144792,1.205e+03,100.0,915.898203906603,0.863103,3710.61,3.64758,6.01128E-02,192679.9,1003.5411458333333,,,,,0.11154244770264247,5499.423449444691,1258884,1258884,0.24997715637335846,
1130360131_1,58137.3077431,1.200e+03,99.9,658.559226146434,0.732000,8037.85,3.64758,8.01661E-06,61721.06,324.8476842105263,,,,,0.11237131362482351,1836.9328937042994,901898,901898,0.745943239773462,
1130360131_2,58137.5651852,1.207e+03,99.9,817.587128981948,0.486372,5.04306E+04,3.64758,6.85611,24730.98,130.16305263157895,,,,,0.11256859884277438,2729.8146128677254,1125677,1125677,0.5045517474842068,
1130360131_3,58137.6295255,1.208e+03,100.0,813.628179094288,0.892932,3114.20,3.64758,0.203316,200705.6,1067.5829787234043,,,,,0.1124450747143815,5658.723978557294,1121134,1121134,0.2435509265069616,
1130360131_4,58137.6939352,1.199e+03,99.9,841.480100973975,0.918398,2406.33,3.64758,0.341892,213777.3,1143.1941176470589,,,,,0.11137945832124757,3457.041618284495,1151551,1151551,0.3959682486487863,
1130360131_5,58137.7582523,1.202e+03,100.0,844.457149947993,0.828422,4459.51,3.64758,1.63803E-02,144496.7,764.5328042328043,,,,,0.11226309270600064,4587.439837986544,1156671,1156671,0.29864588073832266,
