ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number
30188-06-05-00,XTE J1550-564,C,high,2.381,15.1,22.4,27.4,"(0.005, 0.005)","(0.6, 0.6)","(0.5, 0.5)",164
30188-06-06-00,XTE J1550-564,C,high,3.297,14.9,18.0,23.5,"(0.006, 0.006)","(0.9, 1.0)","(0.8, 0.8)",165
30188-06-07-00,XTE J1550-564,C,high,3.182,14.8,18.2,23.9,"(0.004, 0.004)","(0.7, 0.7)","(0.5, 0.6)",166
30188-06-08-00,XTE J1550-564,C,high,3.161,15.2,18.5,24.0,"(0.004, 0.004)","(0.6, 0.6)","(0.5, 0.5)",167
30188-06-09-00,XTE J1550-564,C,high,3.634,14.4,14.8,23.2,"(0.005, 0.005)","(1.1, 1.0)","(0.8, 0.7)",168
30188-06-10-00,XTE J1550-564,C,high,2.563,15.0,20.8,26.1,"(0.006, 0.006)","(0.9, 0.8)","(0.8, 0.7)",169
30188-06-11-00,XTE J1550-564,C,high,3.977,13.9,16.6,22.0,"(0.007, 0.007)","(0.6, 0.7)","(0.6, 0.7)",170
30191-01-01-00,XTE J1550-564,C,high,5.713,11.6,12.8,18.7,"(0.01, 0.01)","(0.5, 0.5)","(0.4, 0.4)",171
30191-01-02-00,XTE J1550-564,C,high,13.081,1.1,2.3,7.2,"(0.085, 0.085)","(0.1, 0.1)","(0.0, 0.0)",172
30191-01-18-01,XTE J1550-564,C,high,3.331,17.0,17.1,24.6,"(0.009, 0.009)","(0.8, 0.8)","(0.9, 0.9)",173
30191-01-27-00,XTE J1550-564,C,high,5.544,14.6,14.6,20.6,"(0.025, 0.027)","(0.4, 0.4)","(0.4, 0.4)",174
30191-01-27-01,XTE J1550-564,C,high,4.481,13.8,18.6,23.9,"(0.009, 0.009)","(0.9, 1.1)","(0.8, 0.9)",175
30191-01-28-00,XTE J1550-564,C,high,4.191,14.8,19.8,25.7,"(0.01, 0.01)","(1.6, 1.7)","(1.3, 1.4)",176
30191-01-28-01,XTE J1550-564,C,high,4.742,14.0,17.6,23.2,"(0.009, 0.009)","(0.5, 0.6)","(0.4, 0.5)",177
30191-01-28-02,XTE J1550-564,C,high,4.959,14.5,17.3,23.4,"(0.009, 0.009)","(0.9, 1.1)","(0.7, 0.8)",178
30191-01-29-00,XTE J1550-564,C,high,4.835,14.0,17.9,23.5,"(0.009, 0.009)","(1.0, 1.2)","(0.8, 0.9)",179
30191-01-29-01,XTE J1550-564,C,high,4.961,15.4,14.6,21.3,"(0.007, 0.007)","(1.5, 1.7)","(1.0, 1.2)",180
30191-01-30-00,XTE J1550-564,C,high,6.452,10.1,14.1,19.1,"(0.009, 0.009)","(0.4, 0.5)","(0.4, 0.4)",181
30191-01-31-00,XTE J1550-564,C,high,6.764,10.3,10.1,14.7,"(0.02, 0.02)","(1.2, 1.2)","(0.9, 0.9)",182
30191-01-31-01,XTE J1550-564,C,high,6.717,9.8,13.7,18.3,"(0.012, 0.012)","(0.6, 0.8)","(0.5, 0.6)",183
40401-01-02-00,XTE J1550-564,C,high,1.535,1.1,3.3,7.4,"(0.298, 0.298)","(0.1, 0.1)","(0.1, 0.1)",184
