observation_ID,gamma,kTe,nthcomp_norm,diskbb_tin,diskbb_norm,red_stat
50703-01-42-02,0.200001,1.33076E+08,2.39319,454.764,11.7782,6.763435388973632
50703-01-43-00,0.200000,1.34438E+08,2.39128,342.164,11.7382,6.728253142609449
50703-01-43-01,0.200000,2.77463E+08,2.14221,9.87665,7.31038,22.204
50703-01-43-02,0.200000,2.74234E+08,2.14454,9.78718,7.37091,10.568842105263158
50703-01-44-01,0.200000,2.98296E+08,2.21647,12.4537,8.61557,13.845724137931036
50703-01-45-00,0.200000,3.14579E+08,2.24475,12.2664,9.65823,32.747025641025644
50703-01-45-01,0.200000,3.24787E+08,2.26256,11.9375,10.5073,56.04232653061225
50703-01-46-00,0.200000,3.33482E+08,2.28083,12.8261,10.9569,54.830135593220334
50703-01-46-01,0.200000,3.36904E+08,2.30109,13.7965,11.5752,60.50785507246376
50703-01-46-02,0.200000,3.48863E+08,2.30549,13.0744,12.0221,71.54559493670885
50703-01-48-00,0.200000,3.66999E+08,2.30169,13.4093,12.3588,91.63033707865169
50703-01-49-00,0.200000,3.72329E+08,2.32258,14.8281,12.5972,71.85749494949495
50703-01-50-00,0.200000,3.48865E+08,2.29195,13.9076,11.4526,41.762311926605506
50703-01-50-01,0.200000,3.36297E+08,2.26916,13.2043,10.6697,26.07801680672269
50703-01-50-02,0.200000,3.30469E+08,2.25434,12.7772,10.2187,18.97541085271318
50703-01-51-00,0.200000,3.22711E+08,2.26007,13.4363,10.2988,17.279525179856115
50703-01-51-01,0.200001,3.23875E+08,2.25601,13.1112,10.2131,15.713744966442952
50703-01-52-00,0.200003,3.24008E+08,2.25265,13.0852,10.0932,13.577949685534591
50703-01-52-01,0.200000,3.20896E+08,2.24982,13.0521,9.99541,11.872248520710059
50703-01-52-02,0.200000,3.15185E+08,2.25086,13.4816,9.96165,10.47405586592179
50703-01-53-00,0.200000,3.15268E+08,2.25391,13.8194,10.0064,9.905174603174602
50703-01-53-01,0.200000,3.17645E+08,2.25398,13.5915,10.0253,9.59164824120603
50703-01-53-02,0.200000,3.19294E+08,2.25655,13.7163,10.0853,9.385224880382774
50703-01-54-00,0.200001,3.16315E+08,2.25397,13.8550,9.96776,8.062255707762557
50703-01-54-01,0.200000,3.13056E+08,2.25082,13.8827,9.84901,6.95564192139738
50703-01-54-02,0.200001,3.11257E+08,2.24833,13.9517,9.75326,6.122351464435146
50703-01-55-00,0.200000,3.12298E+08,2.25285,14.3091,9.85496,6.19829718875502
50703-01-55-01,0.200000,3.15076E+08,2.25726,14.9166,9.97383,6.557683397683398
50703-01-56-00,0.200000,3.17522E+08,2.26377,15.7091,10.1344,6.972297397769516
50703-01-59-00,0.200000,3.18097E+08,2.26179,15.8333,10.0462,6.246437275985664
50703-01-59-01,0.200000,3.18260E+08,2.25957,15.8895,9.96001,5.6253494809688585
50703-01-62-00,0.200000,3.20567E+08,2.26109,15.6898,10.0823,6.287344481605351
50703-01-62-01,0.200000,3.22596E+08,2.26384,15.6137,10.2174,6.894012944983818
50703-01-62-02,0.200000,3.26322E+08,2.26561,15.4766,10.3404,7.5844639498432596
50703-01-62-03,0.200000,3.28067E+08,2.26805,15.5079,10.4687,8.232942249240121
50703-01-64-00,0.200001,3.27373E+08,2.26698,15.7306,10.3755,7.305457227138643
50703-01-65-01,0.200000,3.25743E+08,2.26363,15.7035,10.2608,6.59978223495702
50703-01-66-00,0.200000,3.22902E+08,2.25894,15.5284,10.1151,5.849314763231198
50703-01-66-01,0.200000,3.19240E+08,2.25876,16.0028,10.0581,5.317078590785908
50703-01-67-00,0.200000,3.19102E+08,2.25926,16.3619,10.0174,4.852622691292876
50703-01-67-01,0.200000,3.22617E+08,2.25605,16.0385,9.92283,4.44331619537275
50703-01-67-02,0.200000,3.21901E+08,2.25605,16.3339,9.87828,4.068245614035088
60100-01-01-00,0.200001,3.20662E+08,2.25731,16.6937,9.85829,3.7337408312958433
60100-01-01-01,0.200000,3.19796E+08,2.25840,17.0459,9.84740,3.497331742243437
60100-01-02-00,0.200000,3.23614E+08,2.25721,17.0885,9.89566,3.8853333333333335
60100-01-03-01,0.200000,3.25170E+08,2.25926,17.5122,9.90791,3.7024419134396354
60405-01-01-00,0.200000,3.25778E+08,2.26194,17.5784,9.97748,3.7501469933184857
60405-01-01-01,0.200000,3.26606E+08,2.26307,17.7700,9.97980,3.586553376906318
60405-01-03-00,0.200000,3.26449E+08,2.26506,18.2425,10.0241,3.605765458422175
60405-01-04-00,0.200000,3.22252E+08,2.26892,19.4433,10.0668,3.4614154488517745
60405-01-04-01,0.200000,3.24742E+08,2.26538,18.4311,10.0180,3.4001431492842538
60405-01-04-02,0.200000,3.21451E+08,2.26954,19.5973,10.0722,3.2980761523046094
60405-01-04-03,0.200000,3.20863E+08,2.26856,19.5153,10.0434,3.168927308447937
60405-01-04-04,0.200000,3.19992E+08,2.26854,19.6185,10.0319,3.054824662813102
60405-01-04-05,0.200000,3.23698E+08,2.26444,18.3903,9.98769,3.0683553875236296
60405-01-04-06,0.200000,3.23531E+08,2.26728,18.7840,10.0638,3.162508348794063
60405-01-04-07,0.200000,3.20084E+08,2.27212,19.8836,10.1510,3.162947176684882
60405-01-04-08,0.200001,3.22671E+08,2.26792,18.7587,10.0815,3.0705259391771023
60701-01-01-00,0.200000,3.20091E+08,2.27536,20.7909,10.1655,2.901075571177504
60701-01-01-01,0.200000,3.23522E+08,2.27316,20.4083,10.0728,2.617509499136442
60701-01-04-00,0.200000,3.25816E+08,2.27277,19.9074,10.1165,2.770207130730051
60701-01-04-02,0.200000,3.25816E+08,2.27634,20.3414,10.2135,2.88669449081803
60701-01-05-00,0.200000,3.23511E+08,2.27907,20.5941,10.2807,2.914398817345598
60701-01-05-01,0.200000,3.21185E+08,2.28042,20.5959,10.3209,2.91996120271581
60701-01-06-00,0.200000,3.17770E+08,2.28125,20.6206,10.3854,3.0725429662635264
60701-01-06-01,0.882702,1207.20,2.62544,884.274,8.01246,4.857727272727273
60701-01-06-02,0.850179,1259.22,2.59638,999.900,7.63414,46.40516129032258
60701-01-20-00,0.722263,2.94230E-10,2.88975,109.766,12.6221,190.80281690140845
60701-01-23-00,0.758893,2.23595E-02,2.76286,18.6236,10.0205,205.23471204188482
60701-01-23-01,0.766432,6.47932E-05,2.70322,13.8591,9.12377,195.03400000000002
60701-01-24-00,0.921593,2.75367E-04,2.68781,13.6987,6.59666,173.33089965397923
60701-01-24-01,1.00035,1.30840E-08,2.67700,13.5030,5.67531,155.43017751479292
60701-01-24-02,1.04719,4.47797E-03,2.66971,13.2642,5.22090,139.19819121447028
60701-01-25-00,1.26183,151.573,2.49061,8.80478,3.17749,126.38924311926606
60701-01-25-01,1.35157,157.823,2.36355,7.32517,2.49008,115.50426804123711
60701-01-26-00,1.38181,151.620,2.31272,6.96090,2.27475,107.82550561797753
60701-01-26-01,1.40455,147.564,2.27406,6.72003,2.12203,100.69631217838764
60701-01-26-02,1.41544,144.647,2.25064,6.57227,2.04221,94.6120253164557
60701-01-26-03,1.41533,141.293,2.24857,6.57460,2.04095,88.8925550660793
60701-01-28-00,1.48127,138.360,2.14115,6.18323,1.65433,84.06765753424658
60701-01-29-00,1.51066,133.465,2.08602,5.93261,1.49250,81.25310654685494
60701-01-30-00,1.49325,136.023,2.10204,6.00885,1.54360,78.36212560386473
60701-01-30-01,1.47813,137.814,2.11767,6.09452,1.59373,75.41629418472064
60701-01-30-02,1.46151,140.021,2.13401,6.17270,1.64812,73.07882289416847
60701-01-31-01,1.47049,145.450,2.12279,6.09592,1.59657,68.54285128205129
60701-01-33-00,1.45411,140.481,2.13867,6.26245,1.63769,70.73330078125
60701-01-33-01,1.44124,136.424,2.14669,6.37194,1.66267,71.78605778191985
60702-01-01-00,1.38328,137.686,2.23156,7.12546,1.98831,65.43296527159394
60702-01-01-01,1.29252,129.733,2.34575,8.48273,2.53518,61.32090366581415
60702-01-01-02,1.06094,1.57098E-08,2.50985,12.7642,4.18514,56.970318887980376
60702-01-01-10,1.04807,1.82718E-07,2.50912,12.7812,4.29287,52.88655145326002
70702-01-01-00,1.05632,1.45961E-04,2.49620,12.8795,4.11029,55.07803328290469
70702-01-03-00,1.03502,8.22956E-06,2.48892,12.8772,4.16898,54.85894967177243
70702-01-03-01,1.01388,8.59984E-11,2.48003,12.7725,4.23038,54.4044014084507
70702-01-04-00,1.01517,4.48502E-07,2.48047,12.7646,4.26473,50.726215112321306
70702-01-04-01,1.01689,3.95409E-07,2.48377,12.8614,4.30140,47.51567852437418
70702-01-04-02,1.01885,9.49117E-05,2.48401,12.8015,4.32922,44.46139757498404
70702-01-05-00,0.968673,2.77831E-12,2.46333,12.1746,4.53605,44.61503094059406
70702-01-05-01,0.955123,8.12800E-08,2.46358,12.7881,4.55775,45.347165165165165
70702-01-05-02,0.925139,2.27685E-07,2.45154,12.6222,4.66594,45.70629521586931
70702-01-05-03,0.896341,1.06589E-02,2.43901,12.3958,4.77535,45.88982416335791
70702-01-06-00,0.860765,3.91159E-11,2.39674,10.9478,4.78187,47.3546412803532
70702-01-06-01,0.836237,2.84795E-13,2.36693,10.2699,4.74980,48.66704459967759
