full_ids,simpl_tin,simpl_diskbb_norm,simpl_gamma,simpl_FracScat,fit_stat,reduced_fit_stat,mjd,net_source_count_rate,source_percent,source_exposure_time,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1050360113_7,0.208023,8.94603E+06,2.80473,0.906345,93184.90,463.6064676616915,58017.8477778,10720.0,100.0,876.298299977556,0.2778169928210029,18302.164854399183,10546483,10546483,0.6576229404540137,
1050360114_1,0.204305,9.81439E+06,2.81477,0.906187,94024.41,467.78313432835824,58018.876921300005,10600.0,100.0,898.0120000541209,0.2760368424864449,18934.13496579113,10694345,10694345,0.6289983691332095,
1050360114_2,0.275949,2.40986E+06,2.88744,0.906345,97026.51,482.7189552238806,58018.9412731,10540.0,100.0,898.0120000541209,0.2754146398942644,11974.226312524079,10635105,10635105,0.9891187862715076,
1050360115_10,0.200000,1.07299E+07,2.81613,0.905156,62957.79,313.2228358208955,58019.4727431,10440.0,100.0,619.10774028115,0.2745926858636126,28170.714833968643,7262153,7262153,0.4164057425505202,
1050360115_12,0.200860,1.02223E+07,2.78877,0.906345,60168.96,299.34805970149256,58019.5372569,10520.0,100.0,698.156339779496,0.281293315561794,14369.020339450313,8245146,8245146,0.8219563029213409,
1050360115_14,0.200315,1.03544E+07,2.79318,0.906345,57300.18,285.0755223880597,58019.602662,10460.0,100.0,670.453859684989,0.2807092331571002,26443.86953566,7872438,7872438,0.4440498947387567,
1050360115_15,0.200000,1.11419E+07,2.70713,0.774182,23483.11,116.83139303482588,58019.6688079,10660.0,100.0,360.919299861416,0.2989059975984777,14117.328461306835,4309235,4309235,0.8458012395794628,
1050360115_16,0.200000,1.07179E+07,2.71410,0.810889,10167.30,50.58358208955224,58019.6730556,10640.0,100.0,154.196640070528,0.29774388744665264,35068.60981890884,1837195,1837195,0.33976151029636953,
1050360115_17,0.200420,1.05964E+07,2.70748,0.805079,19695.20,97.9860696517413,58019.733645800006,10650.0,100.0,303.570810049772,0.299322317535882,18497.46532232611,3621501,3621501,0.6449705093141257,
1050360115_18,0.200000,1.07474E+07,2.70034,0.791582,10752.43,53.49467661691543,58019.7372801,10600.0,100.0,170.021999996156,0.3002825111948391,14146.842897402894,2018934,2018934,0.8394371218050564,
1050360115_19,0.200000,1.09208E+07,2.70886,0.801238,20114.84,100.07383084577114,58019.8001852,10790.0,100.0,295.552530064248,0.2987193003147865,20955.422560563293,3570433,3570433,0.576514863867693,
1050360115_2,0.208096,8.99956E+06,2.82203,0.906345,80451.00,400.25373134328356,58019.0071181,10530.0,100.0,776.380700166337,0.2747444266608605,9676.095167364809,9181797,9181797,1.2223560047751325,
1050360115_20,0.204127,9.43789E+06,2.78773,0.906345,13102.09,65.18452736318407,58019.8661574,10530.0,100.0,155.188219948672,0.2821334805550156,34939.66136388766,1834586,1834586,0.3383553609396609,
1050360115_21,0.200000,1.02621E+07,2.77646,0.901828,61130.69,304.13278606965173,58019.923240699994,10450.0,100.0,787.1325599402189,0.28487154388864955,18884.252920062714,9233116,9233116,0.6211887820990417,
1050360115_22,0.220527,6.55626E+06,2.79850,0.906345,64353.16,320.16497512437815,58019.987546300006,10430.0,100.0,791.087999939919,0.2830029872740193,17474.435250874267,9259787,9259787,0.6698813781389092,
1050360115_3,0.211627,8.32562E+06,2.82305,0.906345,92075.40,458.0865671641791,58019.0699306,10600.0,100.0,888.050160342827,0.2748537026614121,4271.6929748490775,10573116,10573116,2.7878355339894374,
1050360115_4,0.200000,1.07843E+07,2.80691,0.904814,62085.38,308.88248756218906,58019.134294,10610.0,100.0,609.131600193679,0.27663763322332696,4273.5570967023095,7260127,7260127,2.789621056189392,
1050360115_6,0.207504,8.96574E+06,2.80417,0.906345,44662.39,222.20094527363185,58019.215544000006,10610.0,100.0,480.634559880942,0.27956225090588155,23695.370746114364,5721701,5721701,0.5024177613433088,
1050360115_7,0.301737,1.64151E+06,2.90113,0.900836,46280.88,230.2531343283582,58019.279895800006,10550.0,100.0,494.49500022455993,0.277780555395008,19254.68228382676,5858729,5858729,0.6153577916463758,
1050360116_0,0.252381,3.49731E+06,2.82431,0.906345,61578.04,306.35840796019903,58020.051863400004,10290.0,100.0,800.0767302401359,0.282713640321462,20826.492616281597,9243062,9243062,0.5547393120149429,
1050360116_1,0.200000,1.09944E+07,2.71807,0.783670,51978.06,258.5973134328358,58020.1160069,10500.0,100.0,813.8317799381911,0.2969717555087339,12811.036826804717,9568128,9568128,0.9177871088580216,
1050360116_2,0.200000,1.19106E+07,2.69066,0.703306,50699.37,252.23567164179107,58020.1801273,10590.0,100.0,840.463000210002,0.3015784823563158,16866.838285736427,9962235,9962235,0.7027975697399139,
1050360116_3,0.201767,9.71765E+06,2.78326,0.906345,62818.93,312.53199004975124,58020.2447569,10300.0,100.0,814.886559672654,0.2837921269420453,22288.366449436377,9420043,9420043,0.5186769837041098,
1050360116_4,0.211806,7.92528E+06,2.80451,0.906345,61506.82,306.00407960199004,58020.308830999995,10330.0,100.0,726.885599819943,0.2804495023151444,21453.207499956712,8431475,8431475,0.5407113704484577,
1050360116_6,0.200246,1.02029E+07,2.79805,0.903291,5986.86,29.785373134328356,58020.3178472,10190.0,100.0,69.19430002570151,0.2791580214498015,18775.772486007518,792595,792595,0.6101074456410556,
1050360116_7,0.200000,1.05236E+07,2.81205,0.904751,77047.77,383.3222388059702,58020.373414400005,10290.0,100.0,826.7287598662081,0.2761938771235993,25527.22957793868,9548103,9548103,0.4524466515961309,
1050360116_8,0.217918,7.12084E+06,2.83805,0.906345,81509.66,405.52069651741294,58020.4377662,10250.0,100.0,827.7260403195401,0.27328369448352496,19881.474472065747,9536551,9536551,0.5795327349521542,
1050360116_9,0.202456,1.02382E+07,2.84615,0.906345,93454.00,464.9452736318408,58020.5016551,10190.0,100.0,872.245079649612,0.26913598400377803,22269.727572510503,9990155,9990155,0.5143257829842222,
1050360117_0,0.211239,8.11067E+06,2.82715,0.906345,79580.54,395.9230845771144,58021.0164815,10170.0,100.0,873.198700202629,0.274963882786037,15130.979689139878,9982319,9982319,0.7555792431152027,
1050360117_1,0.200639,1.03635E+07,2.82208,0.906345,72247.44,359.44,58021.1448727,10170.0,100.0,763.461679693311,0.2741913982598696,22951.057761854532,8727747,8727747,0.4981167226859679,
1050360117_2,0.208884,8.53894E+06,2.82752,0.906345,12999.50,64.67412935323384,58021.153830999996,10150.0,100.0,138.405400048941,0.2738911693039397,31253.18293931156,1578235,1578235,0.3648701015476879,
1050360117_3,0.208304,8.58011E+06,2.82304,0.906345,82851.69,412.1974626865672,58021.4018866,10110.0,100.0,935.489939704537,0.2759936558226275,23422.51790891793,10617720,10617720,0.4845929698481958,
1050360117_4,0.204723,9.38774E+06,2.83118,0.906345,69074.90,343.6562189054726,58021.5969444,10040.0,100.0,761.468400293961,0.2728604100542371,27927.746952797042,8589613,8589613,0.4039255844166051,
1050360117_6,0.228355,5.40091E+06,2.83459,0.906345,75488.70,375.565671641791,58021.771736099996,9924.0,100.0,925.7788797542449,0.277655121471026,12425.694806582507,10312025,10312025,0.8965013722857149,
1050360117_7,0.211006,7.97547E+06,2.81955,0.906345,66695.32,331.817512437811,58021.9807755,10000.0,100.0,838.578719735146,0.27720762092447365,19316.18581183788,9417309,9417309,0.5814121363879737,
1050360117_8,0.200004,1.02871E+07,2.80593,0.900336,8816.10,43.86119402985075,58021.9907755,10080.0,100.0,105.772709972225,0.2791350232888711,16990.572452401164,1197341,1197341,0.6662876643549074,
1050360118_0,0.201446,1.00590E+07,2.83312,0.906345,87098.45,433.32562189054727,58022.237963,9931.0,100.0,982.926839925349,0.2725264386609,22928.156078556647,10969291,10969291,0.4867513629399343,
1050360118_1,0.200000,1.05825E+07,2.74050,0.800357,61555.13,306.24442786069653,58022.4951273,10030.0,100.0,995.711529856548,0.29265888281208235,17583.08982235353,11187549,11187549,0.6390442330512855,
1050360118_3,0.200001,1.17598E+07,2.69576,0.686260,3542.91,17.62641791044776,58022.5537153,10140.0,100.0,61.30993997119371,0.2997891826527228,3475.6233354776728,696088,696088,3.2675746941480632,
1050360118_4,0.200000,1.16465E+07,2.69953,0.692256,55403.07,275.6371641791045,58022.880833300005,10080.0,100.0,1011.40940987226,0.2994938591325971,14502.651449450681,11414315,11414315,0.7782253996301167,
1050360118_5,0.200000,1.15321E+07,2.70316,0.697821,53511.65,266.2271144278607,58022.92920140001,10020.0,100.0,980.029629992321,0.2990186190200416,14211.60052101546,10983174,10983174,0.7886353255811059,
1050360119_0,0.213121,7.90299E+06,2.88778,0.906345,92119.42,458.3055721393035,58023.252314800004,9596.0,100.0,884.2196396291259,0.26256431734394514,3211.8194701304246,9545858,9545858,3.3623190791149153,
1050360119_1,0.200947,1.04153E+07,2.88360,0.906345,111219.3,553.3298507462687,58023.26645830001,9549.0,100.0,1029.43448967487,0.2614498784551704,25222.7109528382,11062054,11062054,0.4260519087867332,
1050360119_3,0.200105,1.08542E+07,2.92477,0.906345,44659.69,222.18751243781097,58023.724641199995,9267.0,100.0,352.03771983459603,0.25189617999110603,14423.723090275384,3674227,3674227,0.7236515880996837,
1050360119_4,0.220373,6.80567E+06,2.94528,0.906345,127206.2,632.8666666666667,58023.765081,9209.0,100.0,1059.46533044335,0.2517420172849381,8105.215471287653,10994041,10994041,1.2804411516182568,
1050360119_5,0.202082,1.03290E+07,2.92392,0.906345,48596.05,241.77139303482588,58023.7885301,9271.0,100.0,388.684860083275,0.25199776496881593,8429.695245865745,4062467,4062467,1.240029080839148,
