observation_ID,A,B,C,D,E,F
90412-01-01-00,1584.0,0.648752,1.14891e-11,2.34931,11.9187,5.73159
90701-01-01-00,1603.0,0.651008,0.00781273,2.34843,11.8574,5.7046
90701-01-01-02,1604.0,0.66202,8.40789e-11,2.35029,11.9451,5.60375
90701-01-02-00,1540.0,0.672403,0.0126332,2.35202,12.0412,5.5086
90701-01-02-01,1550.0,0.675447,3.47428e-10,2.35161,12.0538,5.47436
90701-01-02-02,1539.0,0.675591,2.70966e-12,2.35063,11.9865,5.46972
90701-01-02-03,1533.0,0.684493,2.21589e-09,2.3522,12.077,5.39215
90701-01-03-00,1512.0,0.691274,2.62761e-10,2.35235,12.0761,5.3313
90701-01-04-00,1484.0,0.69362,1.5546e-10,2.35235,12.0901,5.30843
90701-01-05-00,1429.0,0.699737,0.000589348,2.35,11.9814,5.23433
90701-01-06-00,1586.0,0.699674,4.55194e-11,2.3533,12.1665,5.25348
90701-01-07-00,1529.0,0.703707,3.30592e-05,2.35432,12.1918,5.22129
90701-01-07-01,1535.0,0.705054,6.95945e-12,2.35505,12.2207,5.21247
90701-01-08-00,2003.0,0.700779,5.52168e-11,2.35538,12.2085,5.25904
90701-01-18-00,1822.0,0.699635,1.71732e-10,2.35568,12.2839,5.27309
90701-01-19-00,1178.0,0.701062,0.0015132,2.358,12.5199,5.25846
90701-01-26-00,1428.0,0.69925,1.4844e-10,2.35589,12.409,5.26232
90701-01-48-00,2166.0,0.2,44316300.0,2.28805,9.24514,12.477
90701-01-50-00,2149.0,0.699505,4.83899e-10,2.35698,12.4006,5.27579
90701-01-50-01,2129.0,0.700728,4.04489e-08,2.3554,12.2049,5.26371
91701-01-01-00,2099.0,0.704221,2.5034e-11,2.35808,12.341,5.25114
91701-01-01-01,2041.0,0.700397,3.65616e-11,2.35722,12.2366,5.29066
91701-01-02-00,2018.0,0.702966,0.0178986,2.35864,12.2944,5.27797
91701-01-02-01,2020.0,0.707275,1.86477e-11,2.35911,12.3128,5.24296
91701-01-02-02,2047.0,0.709755,1.03662e-09,2.3593,12.2319,5.22991
91701-01-03-00,2011.0,0.70466,3.00915e-11,2.35911,12.2116,5.28304
91701-01-03-01,2017.0,0.704138,0.0126321,2.35493,11.9382,5.27032
91701-01-04-00,1899.0,0.710498,1.17038e-10,2.35845,12.0886,5.23662
91701-01-06-00,1895.0,0.708044,3.53354e-10,2.35815,12.0129,5.26105
91701-01-07-00,1878.0,0.716006,4.40974e-10,2.36171,12.2048,5.20834
91701-01-14-01,1516.0,0.715288,0.0339027,2.36174,12.1683,5.2171
91701-01-15-00,1225.0,0.686053,2.24142e-11,2.34908,11.5345,5.41471
91701-01-22-00,1345.0,0.707946,0.000466088,2.36067,12.2567,5.26311
91701-01-30-00,2444.0,0.709323,0.00208367,2.36001,12.1987,5.25126
91701-01-30-01,2479.0,0.710031,5.32117e-11,2.36218,12.3102,5.26418
91701-01-31-00,2079.0,0.711556,1.28574e-10,2.36307,12.2703,5.25975
91701-01-32-00,1967.0,0.711216,9.35644e-11,2.36336,12.2633,5.2686
91701-01-32-01,1956.0,0.691353,1.40295e-08,2.35211,11.5029,5.40702
91701-01-33-01,2529.0,0.709737,4.47711e-11,2.36146,11.7668,5.29232
91701-01-34-00,1899.0,0.706461,2.44516e-12,2.36167,11.6974,5.32899
91701-01-34-01,1902.0,0.707392,2.44334e-10,2.3623,11.6732,5.32651
91701-01-42-00,1754.0,0.707514,9.73789e-12,2.36288,11.6398,5.33153
91701-01-42-01,1719.0,0.713825,0.00274817,2.36407,11.6413,5.28165
91701-01-43-00,1677.0,0.712617,3.86433e-06,2.36252,11.4732,5.28918
91701-01-43-01,1622.0,0.705003,5.7943e-10,2.3633,11.5547,5.36478
91701-01-44-00,1487.0,0.714564,4.97377e-11,2.36446,11.5866,5.28066
91701-01-44-01,1526.0,0.711866,1.28242e-10,2.3634,11.522,5.30044
91701-01-45-00,1478.0,0.715343,0.000470026,2.36584,11.6654,5.28007
91701-01-48-00,1782.0,0.707904,0.00720243,2.36596,11.7366,5.35057
91701-01-49-00,1154.0,0.706381,5.86447e-05,2.3645,11.7231,5.34651
91701-01-50-00,1306.0,0.702929,3.18848e-10,2.36245,11.6532,5.36162
91701-01-51-00,1307.0,0.683037,5.4645e-13,2.35186,11.1137,5.49357
91701-01-51-01,1321.0,0.700458,0.0179166,2.36245,11.7006,5.37937
91701-01-51-02,1323.0,0.698763,0.000877959,2.36099,11.7111,5.37918
91701-01-54-00,1854.0,0.676289,2.89931e-10,2.35091,11.1513,5.54899
91701-01-54-01,1625.0,0.674778,3.16649e-13,2.35143,11.193,5.56726
91701-01-55-00,1068.0,0.699972,1.91163e-10,2.3628,11.9842,5.36023
91701-01-56-00,1144.0,0.699002,6.14298e-12,2.36251,12.062,5.3545
91701-01-57-00,1571.0,0.69999,1.73789e-12,2.36227,12.0748,5.34314
91701-01-57-01,1591.0,0.699548,9.58591e-11,2.36241,12.0735,5.35015
91701-01-57-02,1609.0,0.697918,2.18343e-10,2.36249,12.0913,5.36812
91701-01-58-00,1715.0,0.696986,1.28269e-10,2.36223,12.1074,5.37509
91701-01-58-02,2217.0,0.701129,2.51141e-11,2.36361,12.165,5.34628
91701-01-59-00,1450.0,0.697937,6.6374e-10,2.36286,12.157,5.37096
91701-01-59-01,1413.0,0.669577,2.72292e-10,2.35018,11.4469,5.57939
91701-01-60-02,1984.0,0.694034,1.58283e-10,2.3632,12.1863,5.41375
91701-01-64-00,1674.0,0.694113,0.0024155,2.36041,12.0067,5.39947
91701-01-64-01,1672.0,0.701938,3.93132e-10,2.3638,12.1843,5.34551
91701-01-65-00,1647.0,0.703008,1.59249e-10,2.36362,12.1751,5.33631
91701-01-65-01,1656.0,0.703351,1.18914e-13,2.36409,12.2024,5.33814
91701-01-66-00,1618.0,0.707362,6.3562e-11,2.36213,12.0775,5.29032
91701-01-67-00,1558.0,0.708015,1.88083e-11,2.36264,12.1281,5.28876
91701-01-68-00,2115.0,0.707766,3.25543e-11,2.36462,12.1628,5.30808
91701-01-68-01,1872.0,0.705918,4.74696e-11,2.36549,12.2088,5.33115
91701-01-68-02,1812.0,0.710188,1.17221e-10,2.36672,12.2242,5.30038
91701-01-69-00,1770.0,0.713158,7.18734e-11,2.36827,12.2904,5.28286
91701-01-69-01,1710.0,0.707823,1.96993e-09,2.36713,12.2409,5.32607
91701-01-71-00,3966.0,0.707797,1.10108e-10,2.36699,12.2356,5.33173
91701-01-71-01,3716.0,0.708153,5.17632e-11,2.36749,12.1989,5.34051
91701-01-73-00,1245.0,0.68653,2.54457e-13,2.35467,11.4987,5.47305
91701-01-74-00,1458.0,0.711502,0.000476565,2.3675,12.2346,5.29892
91701-01-76-00,1557.0,0.706872,4.8152e-10,2.36564,12.1157,5.33269
91701-01-76-01,1421.0,0.701143,3.07563e-06,2.36646,12.2298,5.38809
91701-01-78-00,1264.0,0.705141,4.08535e-10,2.36701,12.3005,5.34674
91701-01-79-00,1322.0,0.70307,5.52294e-06,2.36694,12.3387,5.36167
91701-01-79-01,1481.0,0.691327,3.46796e-11,2.36315,12.0984,5.4575
91701-01-80-00,1683.0,0.697605,1.88867e-11,2.36706,12.4328,5.41351
92082-03-01-00,1210.0,0.699762,1.16821e-10,2.37083,12.6721,5.40154
92437-01-01-00,1309.0,0.691357,0.000133222,2.36418,12.2683,5.44466
92702-01-01-00,1427.0,0.697859,5.76151e-11,2.37059,12.7758,5.41025
92702-01-01-01,1399.0,0.695985,1.04713e-10,2.37035,12.795,5.42438
92702-01-02-00,1083.0,0.692286,4.01541e-10,2.36808,12.7758,5.43415
92702-01-02-01,1114.0,0.689479,1.30524e-10,2.36582,12.7053,5.43869
92702-01-03-00,1225.0,0.688407,6.22144e-08,2.36601,12.8234,5.43995
92702-01-05-00,1127.0,0.68451,0.000441318,2.36549,12.8973,5.46306
92702-01-05-01,1470.0,0.681943,6.57423e-12,2.36577,12.9333,5.48827
92702-01-06-00,957.6,0.2,2.71634e-06,2.34132,12.2659,13.6625
92702-01-08-00,1055.0,0.662924,1.70314e-11,2.36164,12.9423,5.62366
92702-01-08-01,1103.0,0.662189,2.13096e-10,2.36267,13.0731,5.62321
92702-01-08-02,1059.0,0.65685,0.00168714,2.36245,13.1173,5.66327
