observation_ID,simpl_FracScat,net_source_count_rate,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,hardness_ratio
1130360144_4,0.559751,266.9,0.38276,80513.6,3.647580000000001,1.44408,0.0535113186097561
1130360144_5,0.420185,266.7,0.383251,79444.8,3.647580000000001,1.44116,0.0567949103725477
1130360145_0,0.90536,267.8,0.383642,79488.7,3.647580000000001,1.4259700000000002,0.0567857223976861
1130360145_2,0.0603364,258.5,0.384513,77020.4,3.647580000000001,1.31689,0.0534790295902775
1130360145_3,0.0551456,255.0,0.390728,70139.2,3.647580000000001,1.1712,0.0512717703012686
1130360145_4,0.084872,257.7,0.380284,81563.8,3.647580000000001,1.39856,0.0544350447072836
1130360146_0,0.454256,254.2,0.383156,78304.9,3.647580000000001,1.27801,0.0537838107768039
1130360146_1,0.0660584,254.7,0.373568,89174.8,3.647580000000001,1.50201,0.0550094495517939
1130360146_10,0.0537667,243.5,0.389824,68888.5,3.647580000000001,1.09414,0.0486949698451281
1130360146_4,0.0595472,247.8,0.379338,81302.8,3.647580000000001,1.2958,0.0541295656969667
1130360146_6,0.0562419,247.2,0.3891969999999999,69652.4,3.647580000000001,1.14957,0.0501885867095433
1130360146_7,0.534643,246.0,0.381769,79756.0,3.647580000000001,1.18171,0.0488103549866068
1130360146_8,0.402641,248.3,0.384877,75178.5,3.647580000000001,1.1974,0.0533354139916512
1130360146_9,0.12925,244.7,0.389308,70535.6,3.647580000000001,1.08373,0.046188569143602
1130360147_2,0.291718,227.2,0.37555,83699.5,3.647580000000001,1.08875,0.048039471430725
1130360152_0,0.022949,93.5,0.33574,90102.2,3.647580000000001,0.336065,0.0283715004794759
1130360152_1,0.051966,91.98,0.336276,86684.0,3.647580000000001,0.344586,0.0300843743188841
1130360153_0,0.0297164,91.94,0.335828,87754.6,3.647580000000001,0.3402489999999999,0.0290672560569401
1130360155_0,0.0199877,69.38,0.320929,95150.0,3.647580000000001,0.246417,0.0255960037318514
1130360155_1,0.017249,68.48,0.322831,92128.1,3.647580000000001,0.210682,0.022966956095281
1130360156_0,0.0176978,62.33,0.314703,99825.8,3.647580000000001,0.218243,0.0243212060200201
1130360156_1,0.0170309,61.26,0.315083,98355.0,3.647580000000001,0.200958,0.0235480477059948
1130360156_3,0.0161153,57.1,0.312817,97432.9,3.647580000000001,0.182469,0.0220237945420728
1130360156_5,0.0161537,57.12,0.312113,99023.4,3.647580000000001,0.184222,0.0221250762364066
1130360156_6,0.0154022,56.5,0.312728,97252.2,3.647580000000001,0.173242,0.0214128477619538
1130360157_0,0.0145914,52.3,0.306787,104134.0,3.647580000000001,0.163015,0.0212418424590228
1130360157_2,0.0134388,50.07,0.306928,101001.0,3.647580000000001,0.140626,0.0186888483342201
1130360157_3,0.0158978,48.72,0.299213,114906.0,3.647580000000001,0.18052,0.0208584160308548
1130360157_4,0.0135142,48.88,0.303237,106939.0,3.647580000000001,0.152587,0.0177750859586775
1130360157_5,0.0165809,48.01,0.3044409999999999,101391.0,3.647580000000001,0.152493,0.0195261980483964
1130360158_2,0.00994849,30.81,0.279708,128005.0,3.647580000000001,0.0916088,0.0111858620602899
1130360158_3,0.0172564,29.35,0.271403,141693.0,3.647580000000001,0.155995,0.0297648357297768
1130360160_0,0.00994844,22.0,0.265927,133986.0,3.647580000000001,0.0681081,0.0169422666164454
1130360160_1,0.0104771,21.22,0.256865,159804.0,3.647580000000001,0.111171,0.0304540722210424
1130360160_2,0.0111076,21.56,0.257414,161733.0,3.647580000000001,0.088652,0.0313664311959062
1130360161_0,0.00994844,10.55,0.235688,163327.0,3.647580000000001,0.0388523,0.0273383835970976
1130360181_0,0.0394772,81.65,0.322949,96998.7,3.647580000000001,0.418664,0.0345127982106792
1130360181_2,0.0381509,78.8,0.337914,74666.3,3.647580000000001,0.278497,0.010392419291861
1130360181_3,0.0280753,84.07,0.328359,91442.4,3.647580000000001,0.380089,0.0300898030966292
1130360181_5,0.0368799,85.16,0.331075,86813.1,3.647580000000001,0.378787,0.0332819354019924
1130360181_6,0.0325539,86.42,0.333431,85410.6,3.647580000000001,0.351706,0.0278687739575968
1130360182_0,0.0281834,85.56,0.330881,88294.3,3.647580000000001,0.380583,0.0258186310338692
1130360182_1,0.0491523,87.6,0.322604,103206.0,3.647580000000001,0.472427,0.0386604524549103
1130360182_2,0.0295165,85.14,0.333866,83781.9,3.647580000000001,0.3413239999999999,0.0258202858708339
1130360182_3,0.0482044,87.1,0.329003,92779.4,3.647580000000001,0.393933,0.0329613430714579
