ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number,class
95409-01-13-05,GX 339-4,C,low,0.396,16.3,36.3,36.3,"(0.009, 0.01)","(0.6, 0.6)","(0.6, 0.6)",111,0
95409-01-13-06,GX 339-4,C,low,0.44799999999999995,11.0,32.6,34.4,"(0.005, 0.005)","(1.3, 1.4)","(1.3, 1.4)",112,0
95409-01-14-01,GX 339-4,C,low,1.058,10.9,30.9,32.8,"(0.007, 0.007)","(1.3, 1.4)","(1.3, 1.4)",113,0
95409-01-14-02,GX 339-4,C,low,2.494,9.0,25.6,27.1,"(0.007, 0.007)","(0.9, 1.0)","(0.9, 1.0)",114,0
95409-01-14-03,GX 339-4,C,low,3.155,7.8,25.7,26.8,"(0.01, 0.01)","(2.7, 2.9)","(2.6, 2.8)",115,0
95409-01-14-04,GX 339-4,C,low,2.375,8.7,23.1,24.7,"(0.006, 0.006)","(1.0, 1.0)","(0.9, 0.9)",116,0
95409-01-14-05,GX 339-4,C,low,3.64,8.1,21.1,22.6,"(0.007, 0.008)","(0.8, 0.8)","(0.8, 0.8)",117,0
95409-01-14-06,GX 339-4,C,low,2.424,8.2,23.2,24.6,"(0.003, 0.003)","(1.6, 0.9)","(1.5, 0.9)",118,0
95409-01-14-07,GX 339-4,C,low,2.92,8.4,21.3,23.9,"(0.003, 0.003)","(1.0, 1.0)","(0.9, 0.9)",119,0
95409-01-15-00,GX 339-4,C,low,4.1530000000000005,7.8,20.2,21.6,"(0.014, 0.014)","(0.7, 0.4)","(0.7, 0.4)",120,0
95409-01-15-01,GX 339-4,C,low,5.653,7.1,15.3,16.9,"(0.015, 0.015)","(1.1, 1.3)","(1.0, 1.2)",121,0
95409-01-17-02,GX 339-4,C,low,6.6979999999999995,3.7,16.1,16.5,"(0.072, 0.073)","(1.4, 1.5)","(1.4, 1.5)",122,0
94331-01-06-00,XTEJ1752-223,C,low,2.247,4.3,28.6,28.9,"(0.014, 0.015)","(1.4, 1.6)","(1.4, 1.6)",123,2
94331-01-06-01,XTEJ1752-223,C,low,4.079,6.2,26.7,27.4,"(0.02, 0.02)","(0.7, 0.7)","(0.7, 0.7)",124,2
94331-01-06-02,XTEJ1752-223,C,low,5.34,5.9,23.5,24.2,"(0.024, 0.024)","(0.3, 0.3)","(0.3, 0.3)",125,2
95360-01-11-00,XTEJ1752-223,C,low,6.462000000000001,7.5,22.2,23.4,"(0.129, 0.129)","(1.0, 1.1)","(1.0, 1.2)",126,2
91110-02-25-00,XTEJ1817-330,C,low,10.584000000000001,1.8,6.4,6.7,"(0.206, 0.202)","(0.6, 0.6)","(0.6, 0.6)",127,8
91110-02-31-00,XTEJ1817-330,C,low,11.423,2.7,6.0,6.6,"(0.401, 0.401)","(0.2, 0.3)","(0.3, 0.3)",128,8
40124-01-04-00,XTE J1859+226,C,intermediate,1.2009999999999998,17.3,30.9,35.4,"(0.007, 0.007)","(1.7, 1.7)","(1.5, 1.6)",129,22
40124-01-05-00,XTE J1859+226,C,intermediate,3.051,15.3,25.8,30.0,"(0.01, 0.01)","(1.1, 1.3)","(1.0, 1.1)",130,22
40124-01-06-00,XTE J1859+226,C,intermediate,3.625,15.0,21.8,26.5,"(0.009, 0.009)","(1.3, 1.7)","(1.1, 1.4)",131,22
