observation_ID,A,B,C,D,E,F
1130360182_9,85.58,0.9860111901221196,3.647580000000001,0.318325,0.336782,81537.5
1130360183_0,90.16,0.9739401390061609,3.647580000000001,0.455679,0.324732,102967.0
1130360183_1,90.06,0.9734227214360414,3.647580000000001,7.87085e-09,1.55637,16.0558
1130360183_2,91.25,0.9730061250330572,3.647580000000001,0.470489,0.326949,98164.9
1130360183_3,92.58,0.9645826490813176,3.647580000000001,0.7148720000000001,0.316582,114814.0
1130360183_4,90.16,0.9625755672327636,3.647580000000001,0.60001,0.319484,105492.0
1130360183_6,91.86,0.9631019530619773,3.647580000000001,0.656795,0.311203,128938.0
1130360183_7,90.85,0.969704855892983,3.647580000000001,0.49651,0.3239,103131.0
1130360183_8,91.54,0.9634340806979821,3.647580000000001,0.576753,0.320409,106719.0
1130360184_0,75.45,0.9617049781550805,3.647580000000001,0.620159,0.297354,143957.0
1130360184_10,68.17,0.947817359799744,3.647580000000001,0.733771,0.287957,143250.0
1130360184_11,75.98,0.9533069896256715,3.647580000000001,0.7337020000000001,0.294837,140918.0
1130360184_12,72.95,0.9559325105997878,3.647580000000001,0.673564,0.294943,138902.0
1130360184_13,74.48,0.9510379777081663,3.647580000000001,0.799773,0.286196,165030.0
1130360184_14,73.93,0.949719516286504,3.647580000000001,0.777768,0.293337,138649.0
1130360184_15,75.3,0.947262611095302,3.647580000000001,0.822642,0.2888969999999999,154877.0
1130360184_16,73.9,0.9414268383350208,3.647580000000001,0.958444,0.2782159999999999,183895.0
1130360184_17,71.13,0.9498167652409546,3.647580000000001,0.773507,0.2846849999999999,163199.0
1130360184_3,74.53,0.960409085455475,3.647580000000001,0.6132029999999999,0.30059,129942.0
1130360184_4,74.98,0.9568655123638561,3.647580000000001,0.758948,0.294471,143518.0
1130360184_7,75.41,0.9582309107923149,3.647580000000001,0.6634369999999999,0.296991,140118.0
1130360184_9,74.74,0.9563029019660858,3.647580000000001,0.734483,0.294239,144452.0
1130360185_0,70.62,0.945349951555641,3.647580000000001,0.883856,0.280548,171428.0
1130360185_1,72.4,0.9253533651016336,3.647580000000001,1.2314,0.252108,304405.0
1130360185_2,70.08,0.9065475165405815,3.4020900000000003,1.01304,0.2505219999999999,300343.0
1130360186_0,32.08,0.7943144235041799,2.45575,0.257092,0.2,574220.0
1130360186_1,34.3,0.793716914648109,2.41834,0.262293,0.2,618150.0
1130360187_0,32.85,0.7951606799888156,2.41344,0.248981,0.2,596322.0
1130360188_0,15.47,0.6794331080054709,1.9624,0.0778703999999999,0.2,176117.0
1130360199_1,9.549,0.5602841868273327,1.68074,0.0358535,0.252003,9362.12
1130360199_2,15.57,0.6109099717717346,1.92351,0.0831431,0.2,112655.0
1130360201_0,29.08,0.675222425322209,2.05081,0.169577,0.2,275715.0
1130360202_0,33.09,0.7023373076859772,2.12127,0.203314,0.2,374365.0
1130360203_0,48.06,0.7423636384690486,2.23005,0.321211,0.2,662653.0
1130360203_1,49.25,0.7454999162667493,2.25255,0.339576,0.2,694970.0
1130360203_2,49.6,0.7462087951113355,2.27052,0.348066,0.200007,689287.0
1130360204_0,84.94,0.8929498359452939,3.19491,0.949955,0.27398,184359.0
1130360205_0,70.76,0.9211507119413708,3.64713,1.15933,0.2600679999999999,232358.0
1130360205_1,70.65,0.9200876291643323,3.647580000000001,1.2827,0.248544,306092.0
1130360205_2,70.49,0.923596255107272,3.647580000000001,1.13351,0.260019,238926.0
1130360206_0,60.37,0.8899754751319369,2.86488,0.4910819999999999,0.26563,191802.0
1130360206_1,59.2,0.8836756154878027,3.11437,0.757999,0.233679,417835.0
1130360207_0,32.04,0.7790083065836186,2.40496,0.2477079999999999,0.2,557028.0
1130360207_1,32.21,0.7791487373043479,2.36845,0.240919,0.2,553873.0
1130360208_0,23.93,0.7333392678983964,2.17277,0.148646,0.2,336034.0
1130360209_0,17.76,0.6922579861567012,2.04914,0.100739,0.2,208176.0
1130360226_3,10.1,0.5603202683735904,1.63274,0.0346017,0.2767199999999999,5174.09
1130360226_4,10.23,0.5647101944828243,1.67091,0.0393971,0.200552,53149.2
1130360226_5,9.849,0.571015198124018,1.90529,0.0545943999999999,0.2,63598.8
1130360226_6,10.79,0.5831281378124532,1.7879900000000002,0.0487077,0.2,55449.2
1130360227_0,12.77,0.5802930888488933,1.7769700000000002,0.0568621999999999,0.201031,59201.6
1130360227_1,16.52,0.6112238448808348,1.87186,0.0831737,0.200003,109408.0
1130360228_1,28.88,0.7071209977981874,2.171,0.189805,0.2,324163.0
1130360228_4,33.81,0.7402305571029569,2.31146,0.253933,0.2,429467.0
1130360229_1,36.68,0.7531137057333458,2.34931,0.283572,0.2,493298.0
1130360229_2,36.52,0.747209263404067,2.2916,0.2635429999999999,0.200001,494562.0
1130360230_0,38.62,0.7656954522257957,2.36636,0.2978179999999999,0.2,563884.0
1130360230_2,40.01,0.7716806138203495,2.4206,0.32814,0.2,617730.0
1130360231_0,39.8,0.7644530252509886,2.36283,0.304723,0.2,586088.0
1130360231_1,35.68,0.7556151616394574,2.33767,0.273307,0.2,540815.0
1130360231_2,36.69,0.7544371690279825,2.34055,0.277737,0.2,536234.0
1130360231_3,35.47,0.7531679737917154,2.31986,0.263322,0.2,521523.0
1130360232_0,32.13,0.723903387348893,2.18806,0.207867,0.2,413577.0
1130360232_2,31.16,0.7281830961985051,2.21297,0.208704,0.2,402552.0
1130360248_0,6.4910000000000005,0.5520812442708136,1.8657,0.0345033,0.20048,18278.5
