observation_ID,A,B,C,D,E,F
40703-01-50-00,1389.0,4.442993907745866,0.243919,2.39178,999.988,10.5634
40703-01-50-01,1374.0,4.485359361135759,0.238125,2.39182,999.956,10.6753
40703-01-50-02,1350.0,4.412811387900356,0.248615,2.39128,999.466,10.4702
40703-01-51-00,1798.0,4.878137504547109,0.231543,2.39255,999.721,10.8297
40703-01-51-01,1501.0,4.601990049751244,0.230826,2.39283,999.266,10.8569
40703-01-51-02,1616.0,4.777247414478918,0.214619,2.3937,999.997,11.1728
40703-01-51-03,1442.0,4.584588893671976,0.22021,2.39385,999.994,11.0859
50125-01-01-00,1863.0,4.989270386266094,0.226855,2.39398,999.592,10.9857
50125-01-01-01,2154.0,5.186721991701245,0.204805,2.39513,999.77,11.4096
50125-01-01-02,1988.0,5.09549795361528,0.235706,2.39385,998.03,10.8604
50125-01-01-03,1770.0,4.88905325443787,0.208591,2.39502,997.415,11.383
50125-01-01-04,1651.0,4.743144071069912,0.21359,2.3949,996.691,11.3083
50125-01-02-00,1452.0,4.24592120970951,0.2,2.39514,1000.0,11.5491
50125-01-02-01,1480.0,4.385542168674699,0.221596,2.39372,996.778,11.1596
50125-01-02-02,1485.0,4.41401530406766,0.206238,2.39438,999.611,11.4441
50125-01-03-00,1940.0,5.057311566516152,0.200418,2.39471,1000.0,11.5704
50405-01-02-00,1066.0,3.808320950965825,0.215054,2.39138,999.99,11.2309
50405-01-02-01,1057.0,3.792039800995025,0.2,2.39181,1000.0,11.4716
50405-01-02-02,1122.0,3.9428017450315074,0.22434,2.38753,989.995,10.951
50405-01-03-00,1264.0,4.320763500931099,0.212716,2.38877,1000.0,11.177
50703-01-08-00,1576.0,4.706827309236948,0.211427,2.38825,1000.0,11.1955
50703-01-17-00,1631.0,4.773175542406312,0.212972,2.38933,1000.0,11.2047
50703-01-17-01,1537.0,4.657927079065956,0.216546,2.38845,994.691,11.1304
50703-01-17-02,1517.0,4.624587458745874,0.223415,2.38867,999.227,11.0203
50703-01-18-00,1757.0,4.9342846413819,0.219194,2.38913,999.96,11.1173
50703-01-18-01,1569.0,4.617215390717969,0.222027,2.38935,999.793,11.0778
